Restaurant ID,Restaurant Name,City,Address,Longitude,Latitude,Cuisines,Average Cost for two,Price range,Aggregate rating,Rating color,Rating text,Votes
17579653,Hemingway's Island Grill,Pensacola,"400 Quietwater Beach Rd, Pensacola Beach, FL 32561",-87.142602,30.335521,"Caribbean, Seafood, Steak",40,3,3.5,Yellow,Good,479
17580476,Native Cafe,Pensacola,"45 A Via De Luna Dr, Pensacola Beach, FL 32561",-87.132932,30.334776,"Breakfast, Burger",25,2,4.2,Green,Very Good,591
17580422,Peg Leg Pete's,Pensacola,"1010 Fort Pickens Rd, Pensacola Beach, FL 32561",-87.164376,30.327864,"Burger, Sandwich, Seafood",40,3,4.4,Green,Very Good,1408
17580539,The Grand Marlin,Pensacola,"400 Pensacola Beach Boulevard, Pensacola Beach, FL 32561",-87.149178,30.34262,"Caribbean, Seafood",40,3,4.3,Green,Very Good,905
17580511,Original Georgios Authentic Greek Food,Pensacola,"13310 Merilla Street, Pensacola, FL 32507",-87.4218962,30.3199824,Greek,10,1,4.7,Dark Green,Excellent,816
17580021,Fisherman's Corner,Pensacola,"13486 Perdido Key Dr, Pensacola, FL 32507",-87.427707,30.308468,"Sandwich, Seafood, Cajun",40,3,4.4,Green,Very Good,747
17582467,Rupes Burgers,Pocatello,"302 NE Main St, Blackfoot, ID 83221",-112.3415,43.1903,"Burger, Fast Food",10,1,3.7,Yellow,Good,104
17582668,Texas Roadhouse,Pocatello,"560 Bullock Street, Pocatello, ID 83202",-112.461326,42.910518,"American, BBQ, Steak",45,3,3.5,Yellow,Good,83
17582498,Riverwalk Cafe,Pocatello,"695 E Main St, Lava Hot Springs, ID 83246",-112.0132,42.62,"Asian, Thai",10,1,3.6,Yellow,Good,91
17582499,Royal Hotel,Pocatello,"11 E Main St, Lava Hot Springs, ID 83246",-112.0127,42.6192,"Pizza, Bar Food",0,1,3.6,Yellow,Good,59
17582522,Buddy's Italian Restaurant,Pocatello,"626 E Lewis St, Pocatello, ID 83201",-112.4423,42.8661,"Italian, Pizza, Sandwich",40,3,3.7,Yellow,Good,222
17582524,Butterburrs,Pocatello,"917 Yellowstone Avenue, Pocatello, ID 83201",-112.4516,42.8919,"American, Breakfast",30,3,3.6,Yellow,Good,121
17582527,Chang Garden,Pocatello,"1000 Pocatello Creek Rd Ste W2, Pocatello, ID 83201",-112.441,42.8928,Chinese,10,1,3.5,Yellow,Good,93
17582551,Fifth Street Bagelry,Pocatello,"559 S 5TH Ave, Pocatello, ID 83201",-112.4397,42.8631,"Coffee and Tea, Sandwich",10,1,3.8,Yellow,Good,136
17582558,Goody's Deli,Pocatello,"905 S 5th Ave, Pocatello, ID 83201",-112.4365,42.8604,"Pizza, Sandwich",10,1,3.8,Yellow,Good,160
17582560,Grecian Key Restaurant,Pocatello,"314 N Main St, Pocatello, ID 83204",-112.4524,42.8639,"American, Greek",25,2,3.7,Yellow,Good,152
17582677,Outer Limits Fun Zone,Pocatello,"1800 Garrett Way, Pocatello, ID 83201",-112.459988,42.878077,"Burger, Pizza, Sandwich",10,1,3.5,Yellow,Good,57
17582670,Portneuf Valley Brewing,Pocatello,"615 South 1st Avenue, ID 83201",-112.443213,42.860024,"American, Pizza",25,2,3.7,Yellow,Good,191
17582625,Sandpiper Restaurant & Lounge,Pocatello,"1400 Bench Rd, Pocatello, ID 83201",-112.432,42.9012,"American, Seafood, Steak",40,3,3.6,Yellow,Good,85
17582627,Senor Iguanas,Pocatello,"961 Hiline Rd, Pocatello, ID 83201",-112.4433,42.8942,Mexican,0,1,3.6,Yellow,Good,108
17582700,Sushi Family,Pocatello,"415 Yellowstone Ave, Pocatello, ID 83201",-112.452013,42.88245,"Asian, Sushi, Vegetarian",25,2,3.6,Yellow,Good,132
17582664,Taste of India Nepal,Pocatello,"330 N Main Street, Pocatello, ID 83204",-112.45253,42.863969,"Indian, International, Vegetarian",25,2,3.8,Yellow,Good,141
17582682,Thai Paradise,Pocatello,"140 S. Main, Pocatello, ID 83204",-112.450106,42.861871,"Desserts, Thai",25,2,3.7,Yellow,Good,162
17582669,The Bridge,Pocatello,"815 S 1st Street, Pocatello, ID 83201",-112.4413856,42.8585987,New American,40,3,3.6,Yellow,Good,144
18491935,Nosh Mahal,Pocatello,"303 E Alameda Road, ID 83201",-112.44853,42.891174,"Indian, Persian",25,2,0,White,Not rated,1
17582546,El Herradero,Pocatello,"123 Jefferson Ave, Pocatello, ID 83201",-112.4419,42.8774,Mexican,10,1,4.1,Green,Very Good,365
17629582,Barrett Junction Cafe,Potrero,"1020 Barrett Lake Rd, Dulzura, CA 91917",-116.704731,32.613431,"American, BBQ, Burger",25,2,3.3,Orange,Average,9
17211719,Blue Point Grill,Princeton,"258 Nassau St, Princeton, NJ 08542",-74.651139,40.352385,Seafood,70,4,4,Green,Very Good,542
17144717,Giovanni's Shrimp Truck,Rest of Hawaii,"56-505 Kamehameha Hwy, Kahuku, HI 96731",-157.948486,21.677078,Seafood,25,2,4.5,Dark Green,Excellent,691
17143970,Kona Brewing Company,Rest of Hawaii,"75-5629 Kuakini Highway, Kailua Kona, HI 96740",-155.997362,19.642752,"American, Pizza, Bar Food",35,3,4.7,Dark Green,Excellent,764
17142698,Leonard's Bakery,Rest of Hawaii,"933 Kapahulu Ave, Honolulu, HI 96816",-157.813432,21.284586,,10,1,4.7,Dark Green,Excellent,707
17144991,Coconuts Fish Cafe,Rest of Hawaii,"1279 S Kihei Road, Kihei, HI 96753",-156.455284,20.748838,Seafood,30,3,4.5,Dark Green,Excellent,487
17142519,Kihei Caffe,Rest of Hawaii,"1945 S Kihei Road, Kihei, HI 96753",-156.451847,20.731487,"American, Hawaiian",10,1,4.5,Dark Green,Excellent,695
17145408,Monkeypod Kitchen by Merriman,Rest of Hawaii,"10 Wailea Gateway Place, Unit B-201 Kihei, Hawaii, HI 96753",-156.4309473,20.6883746,Burger,40,3,4.2,Green,Very Good,485
17143336,Sansei Seafood Restaurant & Sushi Bar,Rest of Hawaii,"1881 S Kihei Rd, Kihei, HI 96753",-156.452556,20.733554,"Japanese, Seafood, Sushi",40,3,4.2,Green,Very Good,807
17145077,Star Noodle,Rest of Hawaii,"286 Kupuohi St, Lahaina, HI 96761",-156.674835,20.885226,Asian,10,1,4.6,Dark Green,Excellent,723
17141447,Aloha Mixed Plate,Rest of Hawaii,"1285 Front St, Lahaina, HI 96761",-156.684967,20.886564,"Asian, Breakfast, Hawaiian",10,1,4.2,Green,Very Good,874
17142096,Gazebo,Rest of Hawaii,"5315 Lower Honoapiilani Rd, Lahaina, HI 96761",-156.667037,20.992316,"Breakfast, Burger",25,2,4.4,Green,Very Good,552
17142297,Hula Grill,Rest of Hawaii,"2435 Kaanapali Pkwy, Lahaina, HI 96761",-156.693821,20.921347,"Hawaiian, Seafood, Steak",40,3,4.3,Green,Very Good,1056
17142535,Kimo's,Rest of Hawaii,"845 Front St, Lahaina, HI 96761",-156.680666,20.876127,"Hawaiian, Seafood, Steak",40,3,4.3,Green,Very Good,707
17142792,Mama's Fish House,Rest of Hawaii,"799 Poho Pl, Paia, HI 96779",-156.366445,20.929622,"Hawaiian, Seafood",70,4,4.9,Dark Green,Excellent,1343
17145495,Marukame Udon,Rest of Hawaii,"2310 Kuhio Avenue, Honolulu, HI 96815",-157.825979,21.279476,Japanese,10,1,4.9,Dark Green,Excellent,602
17143950,Yard House,Rest of Hawaii,"226 Lewers St, Honolulu, HI 96815",-157.8312476,21.2794952,"American, Asian, Burger",40,3,4.6,Dark Green,Excellent,1078
17142747,Lulu's Waikiki,Rest of Hawaii,"2586 Kalakaua Ave, Honolulu, HI 96815",-157.822716,21.271826,American,25,2,3.9,Yellow,Good,232
17141990,Duke's Waikiki,Rest of Hawaii,"2335 Kalakaua Ave, Honolulu, HI 96815",-157.827196,21.277583,"Hawaiian, Seafood, Steak",70,4,4.4,Green,Very Good,1492
17144732,Eggs 'n Things,Rest of Hawaii,"343 Saratoga Road, Honolulu, HI 96815",-157.831538,21.280663,Breakfast,10,1,4,Green,Very Good,535
17143282,Roy's,Rest of Hawaii,"226 Lewers St, Honolulu, HI 96815",-157.831176,21.279154,"Asian, European, Seafood",70,4,4.2,Green,Very Good,531
17143705,Wailana Coffee House,Rest of Hawaii,"1860 Ala Moana Blvd, Honolulu, HI 96815",-157.836031,21.285396,"American, Breakfast, Hawaiian",25,2,4.2,Green,Very Good,694
17615915,The Lady & Sons,Savannah,"102 W Congress St, Savannah, GA 31401",-81.0954,32.0804,Southern,40,3,3.3,Orange,Average,1201
17616487,Green Truck Pub,Savannah,"2430 Habersham Street, Savannah, GA 31401",-81.096647,32.052858,Burger,40,3,4.7,Dark Green,Excellent,906
17615924,Leopold's Ice Cream,Savannah,"212 E Broughton Street, Savannah, GA 31401",-81.0894,32.0785,"Desserts, Sandwich, Ice Cream",10,1,4.6,Dark Green,Excellent,880
17615979,Mrs. Wilkes' Dining Room,Savannah,"107 W Jones St, Savannah, GA 31401",-81.0955,32.0727,"American, Southern",40,3,4.5,Dark Green,Excellent,1014
17616266,Zunzi's,Savannah,"108 E York Street, Savannah, GA 31401",-81.0911,32.0775,"International, Mediterranean, Sandwich",25,2,4.5,Dark Green,Excellent,796
17615976,Moon River Brewing Company,Savannah,"21 W Bay St, Savannah, GA 31401",-81.0916,32.0809,"American, Bar Food, Sandwich",25,2,3.7,Yellow,Good,747
17616025,Pirates' House Restaurant,Savannah,"20 E Broad St, Savannah, GA 31401",-81.0844,32.0782,"American, Seafood, Steak",40,3,3.8,Yellow,Good,566
17615597,B. Matthew's Eatery,Savannah,"325 E Bay St, Savannah, GA 31401",-81.0875,32.0798,"American, Breakfast",25,2,4.1,Green,Very Good,683
17615740,Crystal Beer Parlor,Savannah,"301 W Jones St, Savannah, GA 31401",-81.0979,32.0735,"American, Bar Food",25,2,4.4,Green,Very Good,690
17616203,Goose Feathers Cafe and Bakery,Savannah,"39 Barnard St, Savannah, GA 31401",-81.0941,32.0801,"Breakfast, Vegetarian",10,1,4.2,Green,Very Good,680
17616590,Henry's,Savannah,"28 Drayton St, Savannah, GA 31401",-81.0905213,32.0794767,"American, Breakfast",10,1,4.1,Green,Very Good,287
17615855,Huey's On The River,Savannah,"115 E River St, Savannah, GA 31401",-81.0897,32.0812,"Breakfast, Cajun",40,3,4.1,Green,Very Good,802
17616348,J. Christopher's,Savannah,"122 E. Liberty, Savannah, GA 31401",-81.091482,32.074495,"Breakfast, Diner, Sandwich",25,2,4.3,Green,Very Good,710
17616368,Lulu's Chocolate Bar,Savannah,"42 MLK Jr. Blvd, Savannah, GA 31401",-81.097051,32.080742,"Coffee and Tea, Desserts",10,1,4.3,Green,Very Good,456
17616400,Rocks on the River,Savannah,"102 West Bay St., Savannah, GA 31401",-81.092484,32.081394,"Pizza, Seafood, Steak",70,4,4,Green,Very Good,687
17616076,SOHO South Cafe,Savannah,"12 W Liberty St, Savannah, GA 31401",-81.0939,32.0747,"Cafe, Sandwich, Southern",25,2,4.3,Green,Very Good,719
17616205,The Olde Pink House,Savannah,"23 Abercorn St, Savannah, GA 31401",-81.0897,32.0798,"American, Seafood, Southern",70,4,4.4,Green,Very Good,1803
17616222,Vic's On The River,Savannah,"26 E Bay St, Savannah, GA 31401",-81.0908,32.0809,American,70,4,4.1,Green,Very Good,558
17616295,The Crab Shack,Savannah,"40 Estill Hammock Rd, Tybee Island, GA 31328",-80.865909,32.011689,Seafood,40,3,3.8,Yellow,Good,883
17616465,Tybee Island Social Club,Savannah,"1311 Butler Ave, Tybee Island, GA 31328",-80.848297,31.99581,,10,1,3.9,Yellow,Good,309
17621616,Archie's Waeside,Sioux City,"224 4th Ave NE, Le Mars, IA 51031",-96.1608,42.7956,"Burger, Seafood, Steak",40,3,3.7,Yellow,Good,100
